modelo,q_norm,vazao,geracao_bruta,geracao_pos_processada,corte_mwmed,derivada_mw_por_m3s,derivada_alvo_mw_por_m3s
pinn_fisica_1d,0.5555555555555556,12321.331597222223,15189.589171821928,13946.316250000002,1243.2729218219265,0.6381034344101385,1.041822
pinn_fisica_1d,0.5656565656565656,12505.698261916035,15302.94414042685,13946.316250000002,1356.6278904268474,0.5912764877029308,1.041822
pinn_fisica_1d,0.5757575757575758,12690.06492660985,15407.52292635211,13946.316250000002,1461.2066763521088,0.5429776607877835,1.041822
pinn_fisica_1d,0.5858585858585859,12874.43159130366,15503.09660719316,13946.316250000002,1556.7803571931581,0.4936682659872837,1.041822
pinn_fisica_1d,0.5959595959595959,13058.798255997473,15589.521411073703,13946.316250000002,1643.2051610737017,0.44380860416090545,1.041822
pinn_fisica_1d,0.6060606060606061,13243.164920691288,15666.7374357621,13946.316250000002,1720.4211857620976,0.3938463410162457,1.041822
pinn_fisica_1d,0.6161616161616161,13427.5315853851,15734.76536920425,13946.316250000002,1788.4491192042478,0.3442064997877056,0
pinn_fisica_1d,0.6262626262626263,13611.898250078915,15793.70153218555,13946.316250000002,1847.385282185549,0.2952832936723451,0
pinn_fisica_1d,0.6363636363636364,13796.264914772728,15843.711592880854,13946.316250000002,1897.3953428808527,0.24743389176049682,0
pinn_fisica_1d,0.6464646464646465,13980.63157946654,15885.02330953779,13946.316250000002,1938.7070595377882,0.20097409834492153,0
pinn_fisica_1d,0.6565656565656566,14164.998244160353,15917.918644939675,13946.316250000002,1971.602394939673,0.15617583299034518,0
pinn_fisica_1d,0.6666666666666666,14349.364908854166,15942.725568832428,13946.316250000002,1996.409318832426,0.11326623021307552,0
pinn_fisica_1d,0.6767676767676768,14533.73157354798,15959.809826622411,13946.316250000002,2013.4935766224098,0.07242813297206985,0
pinn_fisica_1d,0.6868686868686869,14718.098238241793,15969.566908605906,13946.316250000002,2023.2506586059044,0.03380173142424774,0
pinn_fisica_1d,0.696969696969697,14902.464902935608,15972.414407521213,13946.316250000002,2026.0981575212118,-0.0025129057795429803,0
pinn_fisica_1d,0.7070707070707071,15086.831567629419,15968.78490638264,13946.316250000002,2022.468656382638,-0.03645264998534098,0
pinn_fisica_1d,0.7171717171717171,15271.198232323231,15959.119495673252,13946.316250000002,2012.8032456732508,-0.06798770223431158,0
pinn_fisica_1d,0.7272727272727273,15455.564897017046,15943.861980613287,13946.316250000002,1997.5457306132848,-0.09711774803636004,0
pinn_fisica_1d,0.7373737373737373,15639.931561710859,15923.453806296504,13946.316250000002,1977.1375562965022,-0.1238680401991806,0
pinn_fisica_1d,0.7474747474747475,15824.298226404673,15898.329701358922,13946.316250000002,1952.01345135892,-0.1482855410839569,0
pinn_fisica_1d,0.7575757575757576,16008.664891098484,15868.914019447977,13946.316250000002,1922.5977694479752,-0.17043522537572633,0
pinn_fisica_1d,0.7676767676767676,16193.031555792297,15835.617741723436,13946.316250000002,1889.301491723434,-0.1903966167765386,0
pinn_fisica_1d,0.7777777777777778,16377.398220486111,15798.836092377896,13946.316250000002,1852.5198423778947,-0.20826060780807218,0
pinn_fisica_1d,0.7878787878787878,16561.764885179924,15758.94671204169,13946.316250000002,1812.6304620416886,-0.22412659146373473,0
pinn_fisica_1d,0.797979797979798,16746.13154987374,15716.308330229573,13946.316250000002,1769.992080229571,-0.23809991682140447,0
pinn_fisica_1d,0.8080808080808081,16930.49821456755,15671.259877007598,13946.316250000002,1724.9436270075967,-0.25028966771402616,0
pinn_fisica_1d,0.8181818181818182,17114.864879261364,15624.119975173784,13946.316250000002,1677.8037251737824,-0.2608067537807523,0
pinn_fisica_1d,0.8282828282828283,17299.231543955175,15575.186756895055,13946.316250000002,1628.870506895053,-0.2697622962804683,0
pinn_fisica_1d,0.8383838383838383,17483.59820864899,15524.737952447176,13946.316250000002,1578.4217024471745,-0.27726628646917173,0
pinn_fisica_1d,0.8484848484848485,17667.964873342804,15473.031203068913,13946.316250000002,1526.7149530689112,-0.28342649167912054,0
pinn_fisica_1d,0.8585858585858586,17852.33153803662,15420.304554651526,13946.316250000002,1473.9883046515242,-0.28834758309593794,0
pinn_fisica_1d,0.8686868686868687,18036.69820273043,15366.777093795958,13946.316250000002,1420.460843795956,-0.2921304592135856,0
pinn_fisica_1d,0.8787878787878788,18221.06486742424,15312.649692500992,13946.316250000002,1366.3334425009907,-0.29487173977955994,0
pinn_fisica_1d,0.8888888888888888,18405.431532118055,15258.105832267805,13946.316250000002,1311.7895822678038,-0.2966634064441922,0
pinn_fisica_1d,0.898989898989899,18589.79819681187,15203.312482632902,13946.316250000002,1256.9962326329005,-0.29759256809739876,0
pinn_fisica_1d,0.9090909090909091,18774.16486150568,15148.421013020845,13946.316250000002,1202.1047630208432,-0.2977413308489314,0
pinn_fisica_1d,0.9191919191919192,18958.531526199495,15093.56812031446,13946.316250000002,1147.2518703144578,-0.2971867546634875,0
pinn_fisica_1d,0.9292929292929293,19142.89819089331,15038.876757667162,13946.316250000002,1092.56050766716,-0.296000880712826,0
pinn_fisica_1d,0.9393939393939394,19327.264855587124,14984.457052838037,13946.316250000002,1038.1408028380356,-0.29425081546832726,0
