data,geracao_mwmed,ena_bruta,ena_armazenavel,vazao
2020-06-11,7640.546083333334,10152.5703125,10150.73730469,5450.98486328125
2020-06-12,7596.4179583333325,10456.19824219,10452.83789063,5071.0048828125
2020-06-13,6744.879416666667,10420.84765625,10402.76074219,4883.89501953125
2020-06-14,6009.909583333333,10415.86914063,10407.53417969,4993.5400390625
2020-06-15,7114.176791666666,10289.79199219,10287.95898438,4920.68994140625
2020-06-16,7760.613083333334,10146.51953125,10144.68652344,4953.58984375
2020-06-17,7585.740333333334,9989.49902344,9987.66601563,4957.3349609375
2020-06-18,7503.482,9841.45214844,9839.61914063,4911.10009765625
2020-06-19,7841.965916666667,9665.65625,9663.82324219,4913.60009765625
2020-06-20,7705.141166666667,9560.484375,9558.65136719,4998.77490234375
2020-06-21,7620.746791666667,9393.08007813,9391.24707031,5011.3798828125
2020-06-22,8262.753041666667,9234.39746094,9232.56445313,4970.294921875
2020-06-23,7878.2735,9010.15820313,9008.32519531,4964.669921875
2020-06-24,7719.695,11272.07128906,11270.23828125,5061.25
2020-06-25,7845.686833333333,8798.16699219,8796.33398438,5415.93994140625
2020-06-26,7769.075541666666,8856.41015625,8854.57714844,5054.39990234375
2020-06-27,7327.082833333333,8819.36035156,8817.52734375,3034.5
2020-06-28,7074.140041666667,9387.73144531,9385.8984375,5163.06005859375
2020-06-29,7759.920375000001,9635.65917969,9633.82617188,5156.0
2020-06-30,7686.608375,9505.62792969,9503.79492188,5807.81005859375
